Time,Subsystem #1|Branch Currents|MAINIA,Subsystem #1|Branch Currents|MAINIB,Subsystem #1|Branch Currents|MAINIC
0,-0.108405225,0.052670926,0.039373845
1.67E-04,-0.108091556,0.040206522,0.050244179
3.33E-04,-0.107281521,0.02756899,0.060860153
5.00E-04,-0.105983816,0.014820862,0.071172476
6.67E-04,-0.104211204,0.00202503,0.081135236
8.33E-04,-0.101981193,-0.010755352,0.090706825
1.00E-03,-0.099314108,-0.023458207,0.099849232
0.00116662,-0.096232302,-0.036023457,0.108528145
0.00133328,-0.092761032,-0.048393022,0.116713904
0.00149994,-0.088927045,-0.060511481,0.124380685
0.0016666,-0.084758975,-0.072326355,0.131507129
0.00183326,-0.080286302,-0.083788633,0.138075948
0.00199992,-0.075538404,-0.094853081,0.144073114
0.00216658,-0.070544563,-0.105478361,0.149488092
0.00233324,-0.065333381,-0.115627073,0.154313162
0.0024999,-0.059931912,-0.125265807,0.158542752
0.00266656,-0.054365579,-0.134365186,0.162173286
0.00283322,-0.048658036,-0.142899677,0.165202752
0.00299988,-0.042830747,-0.150847033,0.167629868
0.00316654,-0.03690305,-0.158188269,0.169454038
0.0033332,-0.030892251,-0.164907217,0.170675084
0.00349986,-0.02481368,-0.17099005,0.171292722
0.00366652,-0.018681543,-0.176425502,0.171307564
0.00383318,-0.012507979,-0.181203231,0.170718774
0.00399984,-0.006303994,-0.18531388,0.169524819
0.0041665,-8.03E-05,-0.188749149,0.167724609
0.00433316,0.006152826,-0.191501498,0.165317029
0.00449982,0.012384276,-0.19356373,0.162301466
0.00466648,0.018602274,-0.194929272,0.158678487
0.00483314,0.024793822,-0.195592001,0.154449925
0.0049998,0.030944223,-0.19554612,0.149619311
0.00516646,0.037036899,-0.194786385,0.144192249
0.00533312,0.043053392,-0.193308458,0.138176993
0.00549978,0.048973087,-0.191109091,0.131584689
0.00566644,0.054773126,-0.188186154,0.12442977
0.0058331,0.060428511,-0.184539497,0.116730578
0.00599976,0.065912277,-0.180171102,0.108509451
0.00616642,0.071195729,-0.175085396,0.099792846
0.00633308,0.076248772,-0.169289991,0.090611726
0.00649974,0.081041291,-0.162797511,0.081002086
0.0066664,0.085541576,-0.15562205,0.071003072
0.00683306,0.089718066,-0.147781804,0.060657725
0.00699972,0.093540505,-0.139300272,0.050013281
0.00716638,0.096979953,-0.130205214,0.039119996
0.00733304,0.100009278,-0.120528959,0.028030975
0.0074997,0.102604419,-0.110309131,0.016801689
0.00766636,0.104744531,-0.099587984,0.005489238
0.00783302,0.106411956,-0.088411853,-0.005848246
0.00799968,0.107593358,-0.076831236,-0.017152615
0.00816634,0.10827978,-0.06490019,-0.028366271
0.008333,0.108466432,-0.052675683,-0.03943269
0.00849966,0.108153179,-0.040217113,-0.05029732
0.00866632,0.107344501,-0.02758576,-0.060908213
0.00883298,0.106049106,-0.014844114,-0.071216106
0.00899964,0.104279742,-0.002054958,-0.081175201
0.0091663,0.10205394,0.010718665,-0.090743974
0.00933296,0.099391915,0.023414766,-0.099884443
0.00949962,0.096315868,0.035973411,-0.108562283
0.00966628,0.092850916,0.048336662,-0.116747826
0.00983294,0.089023687,0.060449228,-0.124415219
0.0099996,0.084862657,0.072258718,-0.13154313
0.01016626,0.080397211,0.083716221,-0.138114154
0.01033292,0.075656623,0.094776511,-0.144114271
0.01049958,0.070670076,0.105398312,-0.149532884
0.01066624,0.065466158,0.115544222,-0.154362291
0.0108329,0.060071811,0.12518099,-0.158596888
0.01099956,0.054512385,0.134279281,-0.16223304
0.01116622,0.048811439,0.142813519,-0.165268734
0.01133288,0.042990413,0.150761619,-0.167702749
0.01149954,0.037068553,0.158104569,-0.169534385
0.0116662,0.031063143,0.164826185,-0.170763388
0.01183286,0.024989402,0.170912683,-0.171389446
0.01199952,0.018861532,0.17635271,-0.171413109
0.01216618,0.012691518,0.181135893,-0.17083323
0.01233284,0.006490246,0.185252667,-0.169648096
0.0124995,2.68E-04,0.188694716,-0.167856395
0.01266616,-0.005963938,0.191454262,-0.165456817
0.01283282,-0.012195538,0.193523973,-0.16244857
0.01299948,-0.018414663,0.19489722,-0.158832163
0.01316614,-0.024608228,0.195567817,-0.154609397
0.0133328,-0.030761564,0.195529804,-0.149783686
0.01349946,-0.036858037,0.194777891,-0.144360647
0.01366612,-0.04287906,0.193307728,-0.138348565
0.01383278,-0.048803993,0.191115886,-0.131758466
0.01399944,-0.054609928,0.188200265,-0.124604926
0.0141661,-0.060271781,0.184560612,-0.116906241
0.01433276,-0.065762535,0.180198878,-0.108684719
0.01449942,-0.071053356,0.17511937,-0.099966891
0.01466608,-0.076114118,0.169329643,-0.090783715
0.01483274,-0.080914609,0.162842348,-0.081171252
0.0149994,-0.085422933,0.155671373,-0.071168624
0.01516606,-0.089607365,0.147834793,-0.060818952
0.01533272,-0.09343756,0.139356077,-0.050169472
0.01549938,-0.096884407,0.130262837,-0.039270554
0.01566604,-0.099920638,0.120587423,-0.028175417
0.0158327,-0.102522157,0.110367499,-0.016939569
0.01599936,-0.104668006,0.099645309,-0.005620254
0.01616602,-0.106340513,0.088467225,0.005724334
0.01633268,-0.107526235,0.076883771,0.017035859
0.01649934,-0.108216144,0.064949147,0.028256621
0.016666,-0.108405367,0.052720331,0.039329976
0.01683266,-0.108093746,0.040256772,0.050201274
0.01699932,-0.107285738,0.027619828,0.060818411
0.01716598,-0.105989985,0.014872038,0.071132012
0.01733264,-0.104219273,0.002076312,0.081096254
0.0174993,-0.101991065,-0.010704208,0.090669453
0.01766596,-0.099325724,-0.023407452,0.099813603
0.01783262,-0.096245565,-0.035973333,0.108494431
0.01799928,-0.092775844,-0.048343766,0.116682239
0.01816594,-0.088943273,-0.060463324,0.124351129
0.0183326,-0.084776543,-0.072279505,0.13147983
0.01849926,-0.080305062,-0.083743319,0.138050973
0.01866592,-0.075558208,-0.094809443,0.144050464
0.01883258,-0.070565298,-0.105436549,0.149467766
0.01899924,-0.065354951,-0.115587197,0.154295221
0.0191659,-0.059954204,-0.125227973,0.158527151
0.01933256,-0.054388497,-0.134329587,0.162160069
0.01949922,-0.048681509,-0.142866343,0.165191889
0.01966588,-0.04285467,-0.150816068,0.167621434
0.01983254,-0.036927354,-0.158159778,0.169448063
0.0199992,-0.03091686,-0.164881274,0.170671552
0.02016586,-0.024838544,-0.170966715,0.171291605
0.02033252,-0.01870661,-0.176404759,0.171308875
0.02049918,-0.012533171,-0.181185156,0.170722455
0.02066584,-0.006329255,-0.185298413,0.169530854
0.0208325,-1.06E-04,-0.188736364,0.167733029
0.02099916,0.006127497,-0.191491455,0.165327892
0.02116582,0.012359,-0.193556443,0.162314728
0.02133248,0.018577088,-0.194924772,0.158694178
0.02149914,0.024768755,-0.195590347,0.154468074
0.0216658,0.030919326,-0.195547298,0.14963986
0.02183246,0.037012279,-0.194790453,0.144215167
0.02199912,0.043029115,-0.193315432,0.13820222
0.02216578,0.048949253,-0.191118956,0.131612167
0.02233244,0.054749828,-0.188198894,0.124459446
0.0224991,0.060405858,-0.184555143,0.116762377
0.02266576,0.065890394,-0.180189595,0.10854324
0.02283242,0.071174704,-0.175106779,0.099828579
0.02299908,0.07622876,-0.169314206,0.090649247
0.02316574,0.081022359,-0.162824512,0.081041291
0.0233324,0.085523888,-0.155651763,0.07104376
0.02349906,0.089701772,-0.147814155,0.060699742
0.02366572,0.093525663,-0.139335141,0.050056435
0.02383238,0.096966721,-0.130242452,0.039164044
0.02399904,0.099997751,-0.120568484,0.028075673
0.0241657,0.102594666,-0.110350758,0.016846828
0.02433236,0.104736656,-0.099631548,0.005534594
0.02449902,0.106406055,-0.08845719,-0.005802915
0.02466568,0.107589409,-0.076878093,-0.017107518
0.02483234,0.108277835,-0.064948387,-0.028321614
0.024999,0.108466536,-0.052724987,-0.039388724
0.02516566,0.108155266,-0.040267274,-0.050254297
0.02533232,0.107348561,-0.027636549,-0.060866281
0.02549898,0.106055148,-0.01489523,-0.071175516
0.02566564,0.104287691,-0.002106147,-0.081136115
0.0258323,0.102063686,0.010667638,-0.090706497
0.02599896,0.099403389,0.023364149,-0.099848747
0.02616562,0.096329004,0.035923425,-0.108528517
0.02633228,0.092865594,0.048287537,-0.116716072
0.02649894,0.08903975,0.060401186,-0.124385551
0.0266656,0.084880054,0.072211944,-0.131515652
0.02683226,0.080415785,0.083670907,-0.138088942
0.02699892,0.07567621,0.094732888,-0.144091353
0.02716558,0.070690647,0.105356507,-0.149512366
0.02733224,0.065487564,0.115504406,-0.154344171
0.0274989,0.060093924,0.125143245,-0.158581138
0.02766556,0.054535147,0.134243712,-0.162219718
0.02783222,0.048834767,0.142780244,-0.165257812
0.02799888,0.043014195,0.150730714,-0.167694211
0.02816554,0.037092719,0.158076063,-0.169528246
0.0283322,0.031087587,0.164800227,-0.170759678
0.02849886,0.025014108,0.170889303,-0.171388149
0.02866552,0.018886404,0.176331952,-0.171414197
0.02883218,0.012716524,0.181117803,-0.170836747
0.02899884,0.006515346,0.185237348,-0.169654027
0.0291655,2.94E-04,0.188682064,-0.167864755
0.02933216,-0.005938698,0.191444337,-0.16546759
0.02949882,-0.01217032,0.193516821,-0.162461743
0.02966548,-0.018389517,0.194892839,-0.158847734
0.02983214,-0.024583204,0.195566222,-0.154627368
0.0299988,-0.030736733,0.195531055,-0.149804026
0.03016546,-0.036833469,0.194782034,-0.144383386
0.03033212,-0.042854887,0.193314806,-0.138373643
0.03049878,-0.048780255,0.191125825,-0.13178587
0.03066544,-0.054586686,0.188213095,-0.124634557
0.0308321,-0.060249176,0.184576362,-0.11693801
0.03099876,-0.065740667,0.18021746,-0.108718485
0.03116542,-0.071032368,0.175140813,-0.100002542
0.03133208,-0.076094113,0.169353902,-0.090821132
0.03149874,-0.080895692,0.162869424,-0.081210278
0.0316654,-0.085405268,0.15570116,-0.071209118
0.03183206,-0.089591071,0.147867262,-0.060860783
0.03199872,-0.093422756,0.13939102,-0.050212421
0.03216538,-0.096871212,0.130300194,-0.039314423
0.03233204,-0.099909171,0.120627031,-0.02821991
0.0324987,-0.102512471,0.110409156,-0.016984517
0.03266536,-0.104660213,0.099688865,-0.005665422
0.03283202,-0.106334694,0.088512525,0.005679157
0.03299868,-0.107522368,0.076930583,0.01699096
0.03316534,-0.108214296,0.064997263,0.028212197
0.033332,-0.10840556,0.052769564,0.039286207
0.03349866,-0.108095944,0.040306829,0.050158449
0.03366532,-0.10728991,0.027670495,0.060776692
0.03383198,-0.105996095,0.014923084,0.071091607
0.03399864,-0.10422726,0.00212742,0.081057332
0.0341653,-0.102000877,-0.010653297,0.090632185
0.03433196,-0.099337243,-0.023356967,0.099778116
0.03449862,-0.096258707,-0.035923481,0.108460821
0.03466528,-0.092790529,-0.048294812,0.116650641
0.03483194,-0.088959381,-0.06041545,0.124321632
0.0349986,-0.08479397,-0.072232895,0.131452501
0.03516526,-0.080323696,-0.083698168,0.13802585
0.03533192,-0.075577922,-0.094765931,0.14402765
0.03549858,-0.070585966,-0.105394833,0.149447292
0.03566524,-0.065376446,-0.115547434,0.154277101
0.0358319,-0.05997644,-0.125190288,0.158511475
0.03599856,-0.054411352,-0.134294063,0.162146747
0.03616522,-0.048704874,-0.142833099,0.165180996
0.03633188,-0.042878516,-0.150785253,0.167612955
0.03649854,-0.036951613,-0.158131361,0.169441983
0.0366652,-0.030941429,-0.164855331,0.170667857
0.03683186,-0.024863414,-0.170943305,0.171290338
0.03699852,-0.01873165,-0.176383838,0.171309844
0.03716518,-0.012558398,-0.181166858,0.170725837
0.03733184,-0.006354651,-0.185282841,0.169536725
0.0374985,-1.31E-04,-0.188723594,0.167741373
0.03766516,0.006102125,-0.191481248,0.165338367
0.03783182,0.012333627,-0.193548992,0.162327692
0.03799848,0.018551737,-0.194920316,0.158709839
0.03816514,0.024743434,-0.195588723,0.154486299
0.0383318,0.030894108,-0.195548505,0.149660572
0.03849846,0.036987271,-0.19479464,0.144238457
0.03866512,0.043004442,-0.193322524,0.138227865
0.03883178,0.048925053,-0.19112879,0.131639943
0.03899844,0.054726265,-0.18821162,0.124489322
0.0391651,0.060383022,-0.18457076,0.116794288
0.03933176,0.065868288,-0.180208042,0.108577125
0.03949842,0.07115344,-0.175128117,0.099864379
0.03966508,0.076208428,-0.16933848,0.090686992
0.03983174,0.081003062,-0.162851632,0.081080846
0.0399984,0.085505761,-0.155681655,0.071084864
0.04016506,0.089684963,-0.147846758,0.060742237
0.04033172,0.093510389,-0.139370233,0.050099965
0.04049838,0.096953116,-0.130279914,0.039208371
0.04066504,0.09998598,-0.120608144,0.028120538
0.0408317,0.102584802,-0.110392496,0.016892025
0.04099836,0.104728721,-0.099675216,0.005579952
0.04116502,0.106400043,-0.088502638,-0.005757502
0.04133168,0.107585363,-0.076925159,-0.017062213
0.04149834,0.108275756,-0.064996853,-0.028276656
0.041665,0.108466409,-0.052774604,-0.039344374
0.04183166,0.10815715,-0.040317744,-0.050210841
0.04199832,0.107352518,-0.027687568,-0.060824025
0.04216498,0.106061108,-0.014946544,-0.071134679
0.04233164,0.104295634,-0.0021575,-0.081096917
0.0424983,0.102073528,0.010616457,-0.090669058
0.04266496,0.099415019,0.023313358,-0.099813119
