Time,absolute Ia,absolute Ib,absolute Ic,Fault
0,0.013287402,0.193806872,0.161796033,Yes
0.000167,0.019501036,0.195076466,0.158091381,Yes
0.000333,0.025686005,0.195642427,0.153781816,Yes
0.0005,0.031827383,0.195498943,0.148871079,Yes
0.000667,0.037908468,0.194640964,0.143365115,Yes
0.000833,0.043910515,0.193064392,0.137272582,Yes
0.001,0.049812611,0.190766007,0.130605027,Yes
0.00116662,0.055591702,0.187744111,0.123377375,Yes
0.00133328,0.06122255,0.183998793,0.115608506,Yes
0.00149994,0.066677943,0.179532364,0.107321285,Yes
0.0016666,0.071929067,0.17434974,0.098542765,Yes
0.00183326,0.076945767,0.168458909,0.089304388,Yes
0.00199992,0.081697918,0.161873162,0.07964281,Yes
0.00216658,0.086153761,0.154606983,0.069597565,Yes
0.00233324,0.090281852,0.146679089,0.059212189,No
0.0024999,0.094052121,0.138113648,0.048534293,No
0.00266656,0.097435981,0.128939077,0.03761458,No
0.00283322,0.10040658,0.119188346,0.026506407,No
0.00299988,0.102940299,0.10889966,0.015265509,No
0.00316654,0.105016857,0.098115906,0.003949051,No
0.0033332,0.106619082,0.086883955,0.007384767,No
0.00349986,0.107734121,0.075254716,0.018677861,No
0.00366652,0.108353742,0.063282728,0.029872838,No
0.00383318,0.108473741,0.05102526,0.04091344,No
0.00399984,0.108094491,0.038541935,0.051745404,No
0.0041665,0.107221179,0.025894223,0.062317185,No
0.00433316,0.105863035,0.013144617,0.072580025,No
0.00449982,0.104033276,0.000356,0.082488559,No
0.00466648,0.101749964,0.012408761,0.092001855,No
0.00483314,0.099033751,0.025087873,0.101082474,No
0.0049998,0.095906973,0.037621744,0.109696604,No
0.00516646,0.092395015,0.049952775,0.117815152,No
0.00533312,0.088524662,0.062026113,0.125412867,No
0.00549978,0.084324628,0.073789798,0.132468924,No
0.00566644,0.079824246,0.08519543,0.138966426,No
0.0058331,0.075052731,0.096198387,0.144891799,No
0.00599976,0.070039213,0.106757879,0.150234819,No
0.00616642,0.064812005,0.116837077,0.154988036,No
0.00633308,0.059397843,0.126403257,0.15914616,No
0.00649974,0.053821746,0.135427654,0.162705734,No
0.0066664,0.048107017,0.143885195,0.165664867,No
0.00683306,0.04227474,0.151754126,0.168022364,Yes
0.00699972,0.036343884,0.159015924,0.169777662,Yes
0.00716638,0.030331386,0.165654764,0.170930401,Yes
0.00733304,0.024252249,0.171657056,0.171480164,Yes
0.0074997,0.018120434,0.177011833,0.171427608,Yes
0.00766636,0.011947714,0.181708723,0.170771405,Yes
0.00783302,0.005744752,0.185738221,0.16950956,Yes
0.00799968,0.000478,0.189092115,0.16764079,Yes
0.00816634,0.006709649,0.191762686,0.165163845,Yes
0.008333,0.012939769,0.193742678,0.162077978,Yes
0.00849966,0.019156126,0.195025399,0.158383772,Yes
0.00866632,0.025345471,0.195604742,0.154083267,Yes
0.00883298,0.031492811,0.195474744,0.149180099,Yes
0.00899964,0.037581284,0.194630221,0.1436802,Yes
0.0091663,0.043592047,0.19306685,0.137592182,Yes
0.00933296,0.04950409,0.19078134,0.130927533,Yes
0.00949962,0.055294171,0.187771738,0.12370117,Yes
0.00966628,0.060936991,0.184038028,0.115931913,Yes
0.00983294,0.066405185,0.179582387,0.107642673,Yes
0.0099996,0.071669668,0.174409598,0.098860547,Yes
0.01016626,0.076700151,0.168527544,0.089617029,Yes
0.01033292,0.081466287,0.161949426,0.079949014,Yes
0.01049958,0.085936069,0.15468955,0.06989602,Yes
0.01066624,0.090077817,0.146766454,0.059501633,No
0.0108329,0.093861207,0.138204232,0.048813727,No
0.01099956,0.097257428,0.129031211,0.037883013,No
0.01116622,0.100239493,0.119280294,0.026763087,No
0.01133288,0.102783628,0.10898979,0.015509804,No
0.01149954,0.104869336,0.098202623,0.004180588,No
0.0116662,0.106479392,0.08696568,0.00716625,No
0.01183286,0.10760086,0.075330019,0.018472321,No
0.01199952,0.108225316,0.063350327,0.029679965,No
0.01216618,0.108348467,0.051084008,0.040732704,No
0.01233284,0.107970722,0.038590796,0.051576212,No
0.0124995,0.107097134,0.025932303,0.062158588,No
0.01266616,0.105736941,0.013171153,0.072430976,No
0.01283282,0.103903458,0.00037,0.082347929,No
0.01299948,0.101614744,0.012406912,0.091868341,No
0.01316614,0.098891526,0.02509876,0.100954682,No
0.0133328,0.095756419,0.037645377,0.109573133,No
0.01349946,0.092234999,0.049988884,0.117694587,No
0.01366612,0.088354215,0.062074177,0.125293642,No
0.01383278,0.084142983,0.073849157,0.13234964,No
0.01399944,0.079630867,0.085265249,0.138845652,No
0.0141661,0.074847221,0.096277684,0.144768074,No
0.01433276,0.06982135,0.106845543,0.150106832,No
0.01449942,0.064581782,0.116931938,0.154854596,No
0.01466608,0.059155378,0.126503989,0.159006059,No
0.01483274,0.053567398,0.135532856,0.16255787,No
0.0149994,0.04784124,0.143993378,0.165508181,No
0.01516606,0.041998174,0.151863739,0.167855963,Yes
0.01533272,0.036057279,0.159125328,0.169600561,Yes
0.01549938,0.030035663,0.16576238,0.170741946,Yes
0.01566604,0.023948465,0.171761289,0.171279818,Yes
0.0158327,0.017809769,0.177111074,0.171214968,Yes
0.01599936,0.011631454,0.181801558,0.170546368,Yes
0.01616602,0.005424434,0.18582353,0.169272453,Yes
0.01633268,0.000801,0.18916887,0.167392314,Yes
0.01649934,0.007033173,0.191830173,0.164904907,Yes
0.016666,0.013262345,0.193800256,0.161809713,Yes
0.01683266,0.019476116,0.195072696,0.158107489,Yes
0.01699932,0.025661232,0.195641488,0.153800339,Yes
0.01716598,0.031802885,0.195500895,0.148891971,Yes
0.01733264,0.037884265,0.194645807,0.143388346,Yes
0.0174993,0.043886695,0.193072125,0.137298122,Yes
0.01766596,0.04978928,0.190776706,0.130632818,Yes
0.01783262,0.055568896,0.187757745,0.123407394,Yes
0.01799928,0.061200395,0.184015334,0.115640633,Yes
0.01816594,0.066656619,0.179551825,0.107355431,Yes
0.0183326,0.071908653,0.174372047,0.098578803,Yes
0.01849926,0.076926365,0.168484077,0.089342169,Yes
0.01866592,0.081679665,0.161901131,0.079682179,Yes
0.01883258,0.086136803,0.154637665,0.069638394,Yes
0.01899924,0.090266265,0.146712348,0.05925427,No
0.0191659,0.094038084,0.138149411,0.048577439,No
0.01933256,0.097423524,0.128977269,0.037658598,No
0.01949922,0.100395858,0.119228758,0.026551053,No
0.01966588,0.10293141,0.108942129,0.015310536,No
0.01983254,0.105009809,0.098160282,0.003994305,No
0.0199992,0.106613949,0.086930029,0.007339609,No
0.02016586,0.10773097,0.075302288,0.018633025,No
0.02033252,0.108352579,0.063331537,0.029828519,No
0.02049918,0.108474582,0.051075067,0.040869869,No
0.02066584,0.108097307,0.038592521,0.05170282,No
0.0208325,0.107225925,0.025945364,0.062275749,No
0.02099916,0.105869673,0.013196065,0.072539866,No
0.02116582,0.104041778,0.000407,0.082449913,No
0.02133248,0.101760253,0.012357594,0.091964848,No
0.02149914,0.099045694,0.025037149,0.101047278,No
0.0216658,0.095920511,0.037571739,0.109663382,No
0.02183246,0.092410021,0.049903743,0.117783956,No
0.02199912,0.088541031,0.061978247,0.125383735,No
0.02216578,0.084342234,0.073743291,0.132442012,No
0.02233244,0.079842918,0.085150443,0.13894175,No
0.0224991,0.075072385,0.096155092,0.144869372,No
0.02266576,0.070059761,0.106716462,0.150214702,No
0.02283242,0.064833321,0.116797648,0.154970288,No
0.02299908,0.059419807,0.126365915,0.159130812,No
0.02316574,0.053844299,0.135392532,0.1626928,No
0.0233324,0.048130095,0.143852413,0.165654331,No
0.02349906,0.04229825,0.151723772,0.168014228,Yes
0.02366572,0.036367733,0.158988014,0.169771895,Yes
0.02383238,0.030355494,0.165629372,0.170927018,Yes
0.02399904,0.02427656,0.171634257,0.171479166,Yes
0.0241657,0.018144932,0.176991642,0.171428978,Yes
0.02433236,0.011972301,0.181691185,0.17077513,Yes
0.02449902,0.005769429,0.185723379,0.169515714,Yes
0.02466568,0.000453,0.189079985,0.167649373,Yes
0.02483234,0.006684919,0.191753328,0.165174872,Yes
0.024999,0.01291507,0.193736106,0.162091389,Yes
0.02516566,0.019131543,0.1950216,0.158399627,Yes
0.02533232,0.025321046,0.195603743,0.154101551,Yes
0.02549898,0.031468589,0.195476607,0.149200782,Yes
0.02566564,0.037557337,0.194634944,0.143703237,Yes
0.0258323,0.043568466,0.193074465,0.137617558,Yes
0.02599896,0.049480952,0.19079183,0.13095519,Yes
0.02616562,0.055271607,0.187785178,0.123731032,Yes
0.02633228,0.060915038,0.184054419,0.115963891,Yes
0.02649894,0.06638398,0.179601699,0.10767667,Yes
0.0266656,0.071649328,0.174431756,0.098896496,Yes
0.02683226,0.076680787,0.168552488,0.089654796,Yes
0.02699892,0.081448011,0.161977157,0.079988368,Yes
0.02716558,0.085919067,0.154719994,0.06993679,Yes
0.02733224,0.090062171,0.146799535,0.059543721,No
0.0274989,0.093847096,0.138239801,0.048856899,No
0.02766556,0.097244948,0.129069179,0.037927046,No
0.02783222,0.100228705,0.119320579,0.026807766,No
0.02799888,0.10277459,0.109032147,0.015554906,No
0.02816554,0.104862206,0.09824685,0.004225888,No
0.0283322,0.106474213,0.087011643,0.007120975,No
0.02849886,0.107597597,0.075377524,0.018427283,No
0.02866552,0.108224034,0.063399121,0.029635426,No
0.02883218,0.108349234,0.051133845,0.040688902,No
0.02899884,0.107973501,0.038641408,0.051533286,No
0.0291655,0.107101873,0.02598347,0.06211682,No
0.02933216,0.105743617,0.013222659,0.072390549,No
0.02949882,0.103912003,0.000422,0.082309008,No
0.02966548,0.101625092,0.012355583,0.091831036,No
0.02983214,0.098903574,0.02504788,0.100919187,No
0.0299988,0.095770046,0.037595138,0.109539591,No
0.03016546,0.092250094,0.049939539,0.117663041,No
0.03033212,0.088370696,0.062025983,0.125264242,No
0.03049878,0.084160745,0.073802315,0.132322431,No
0.03066544,0.079649739,0.085219912,0.138820693,No
0.0308321,0.0748671,0.096234016,0.144745484,No
0.03099876,0.06984216,0.106803738,0.150086597,No
0.03116542,0.064603388,0.116892152,0.154836699,No
0.03133208,0.059177678,0.126466289,0.158990532,No
0.03149874,0.053590257,0.135497361,0.162544742,No
0.0316654,0.047864597,0.143960178,0.165497497,No
0.03183206,0.042021982,0.151832998,0.167847619,Yes
0.03199872,0.036081441,0.159097105,0.169594675,Yes
0.03216538,0.030060081,0.165736675,0.170738474,Yes
0.03233204,0.023973098,0.171738148,0.171278775,Yes
0.0324987,0.017834568,0.177090585,0.171216324,Yes
0.03266536,0.011656389,0.181783766,0.170550138,Yes
0.03283202,0.005449424,0.18580845,0.169278666,Yes
0.03299868,0.000776,0.189156532,0.167400971,Yes
0.03316534,0.00700817,0.191820607,0.164916009,Yes
0.033332,0.013237385,0.193793535,0.161823273,Yes
0.03349866,0.019451212,0.195068806,0.158123493,Yes
0.03366532,0.025636518,0.19564043,0.153818756,Yes
0.03383198,0.031778414,0.195502669,0.148912758,Yes
0.03399864,0.037860062,0.194650501,0.143411532,Yes
0.0341653,0.043862835,0.193079725,0.137323618,Yes
0.03433196,0.049765863,0.190787241,0.130660638,Yes
0.03449862,0.055546049,0.187771186,0.123437464,Yes
0.03466528,0.061178207,0.18403171,0.115672819,Yes
0.03483194,0.066635177,0.179571137,0.107389651,Yes
0.0349986,0.071888119,0.17439428,0.098614894,Yes
0.03516526,0.07690686,0.168509096,0.089380063,Yes
0.03533192,0.081661314,0.161928907,0.079721712,Yes
0.03549858,0.086119689,0.154668167,0.069679357,Yes
0.03566524,0.090250544,0.146745563,0.0592965,No
0.0358319,0.094023846,0.138185173,0.048620801,No
0.03599856,0.09741094,0.129015386,0.037702825,No
0.03616522,0.100384958,0.119269162,0.026596017,No
0.03633188,0.102922298,0.108984657,0.015355915,No
0.03649854,0.105002612,0.098204732,0.0040398,No
0.0366652,0.106608696,0.086976193,0.007294091,No
0.03683186,0.107727729,0.075349934,0.018587772,No
0.03699852,0.108351372,0.063380495,0.029783813,No
0.03716518,0.10847535,0.051125109,0.040825885,No
0.03733184,0.108100094,0.038643371,0.051659763,No
0.0374985,0.107230716,0.025996748,0.062233821,No
0.03766516,0.105876386,0.013247745,0.07249929,No
0.03783182,0.104050309,0.000459,0.082410835,No
0.03799848,0.101770558,0.012306008,0.091927454,No
0.03816514,0.099057719,0.02498609,0.101011701,No
0.0383318,0.0959341,0.037521418,0.109629698,No
0.03849846,0.092425101,0.049854312,0.117752358,No
0.03866512,0.088557474,0.061929945,0.12535435,No
0.03883178,0.084359922,0.073696345,0.132414803,No
0.03899844,0.079861775,0.085105069,0.138916805,No
0.0391651,0.075092234,0.096111417,0.144846752,No
0.03933176,0.070080452,0.106674597,0.150194466,No
0.03949842,0.064854808,0.116757803,0.154952407,No
0.03966508,0.059441984,0.126328245,0.159115285,No
0.03983174,0.05386705,0.135357097,0.162679642,No
0.0399984,0.048153292,0.143819302,0.165643618,No
0.04016506,0.042321846,0.151693091,0.168005958,Yes
0.04033172,0.036391649,0.158959895,0.169766009,Yes
0.04049838,0.030379692,0.165603817,0.170923531,Yes
0.04066504,0.024300938,0.171611294,0.171478093,Yes
0.0408317,0.018169425,0.176971287,0.171430305,Yes
0.04099836,0.011996912,0.181673497,0.170778871,Yes
0.04116502,0.00579409,0.185708419,0.169521794,Yes
0.04133168,0.000428,0.189067766,0.167657882,Yes
0.04149834,0.006660305,0.191743866,0.165185824,Yes
0.041665,0.012890528,0.193729445,0.162104815,Yes
0.04183166,0.019107092,0.19501783,0.158415452,Yes
0.04199832,0.02529671,0.195602849,0.15411979,Yes
0.04216498,0.031444512,0.195478603,0.149221391,Yes
0.04233164,0.037533596,0.194639802,0.14372623,Yes
0.0424983,0.043545112,0.193082243,0.137642816,Yes
0.04266496,0.049458038,0.190802515,0.130982637,Yes
0.04283162,0.05524924,0.187798739,0.123760663,Yes
0.04299828,0.060893383,0.18407087,0.115995653,Yes
0.04316494,0.066363089,0.179621041,0.107710511,Yes
0.0433316,0.071629301,0.174454004,0.098932199,Yes
0.04349826,0.076661743,0.168577626,0.089692332,Yes
0.04366492,0.081430122,0.162005037,0.080027528,Yes
0.04383158,0.08590243,0.154750556,0.069977425,Yes
0.04399824,0.090046905,0.146832675,0.059585594,No
0.0441649,0.093833297,0.138275474,0.048899792,No
0.04433156,0.097232729,0.129107222,0.037970804,No
0.04449822,0.100218207,0.119360805,0.02685219,No
0.04466488,0.102765888,0.109074451,0.015599777,No
0.04483154,0.104855306,0.098291107,0.00427096,No
0.0449982,0.106469207,0.087057635,0.007075894,No
0.04516486,0.107594617,0.075425006,0.01838249,No
0.04533152,0.108223051,0.063447855,0.029591132,No
0.04549818,0.108350217,0.051183641,0.040645335,No
0.04566484,0.107976452,0.038692012,0.051490713,No
0.0458315,0.10710679,0.026034551,0.062075417,No
0.04599816,0.105750427,0.013273976,0.07235042,No
0.04616482,0.103920661,0.000473,0.082270361,No
0.04633148,0.101635486,0.012304474,0.091794088,No
0.04649814,0.098915607,0.024997234,0.100883983,No
0.0466648,0.095783666,0.037545219,0.109506249,No
0.04683146,0.092265196,0.049890567,0.117631726,No
0.04699812,0.088387117,0.061978135,0.125235051,No
0.04716478,0.084178373,0.073755786,0.132295415,No
0.04733144,0.0796685,0.085174933,0.138795987,No
0.0474981,0.074886851,0.09619078,0.144723073,No
0.04766476,0.069862768,0.106762372,0.15006654,No
0.04783142,0.064624742,0.11685276,0.154819042,No
0.04799808,0.059199661,0.126429066,0.158975288,No
0.04816474,0.053612821,0.135462388,0.162531838,No
0.0483314,0.047887664,0.143927544,0.165486932,No
0.04849806,0.042045414,0.151802734,0.167839453,Yes
0.04866472,0.036105204,0.159069315,0.169588864,Yes
0.04883138,0.030084142,0.165711448,0.170735061,Yes
0.04899804,0.023997366,0.171715558,0.171277747,Yes
0.0491647,0.017858993,0.177070633,0.17121771,Yes
0.04933136,0.011680899,0.18176645,0.170553938,Yes
0.04949802,0.005473986,0.185793787,0.169284836,Yes
0.04966468,0.000751,0.189144611,0.167409539,Yes
0.04983134,0.006983596,0.191811398,0.164926991,Yes
0.049998,0.013212882,0.193787068,0.161836639,Yes
0.05016466,0.019426845,0.195065141,0.158139229,Yes
0.05033132,0.02561228,0.195639581,0.153836891,Yes
0.05049798,0.031754371,0.19550471,0.148933291,Yes
0.05066464,0.037836302,0.194655389,0.143434435,Yes
0.0508313,0.043839421,0.193087518,0.13734889,Yes
0.05099796,0.049742918,0.19079794,0.130688161,Yes
0.05116462,0.055523649,0.187784806,0.123467132,Yes
0.05133128,0.061156444,0.184048206,0.115704633,Yes
0.05149794,0.066614181,0.179590493,0.107423477,Yes
0.0516646,0.07186798,0.174416482,0.098650649,Yes
0.05183126,0.07688769,0.1685341,0.089417577,Yes
0.05199792,0.081643187,0.161956668,0.079760894,Yes
0.05216458,0.086102843,0.15469861,0.069719985,Yes
0.05233124,0.090235054,0.146778569,0.059338428,No
0.0524979,0.094009794,0.138220653,0.048663836,No
0.05266456,0.09739849,0.12905328,0.037746724,No
0.05283122,0.100374229,0.119309321,0.026640523,No
0.05299788,0.102913305,0.109026857,0.015400893,No
0.05316454,0.104995467,0.098248802,0.004084983,No
0.0533312,0.106603466,0.087021984,0.007248981,No
0.05349786,0.107724391,0.075397208,0.018542893,No
0.05366452,0.108349979,0.06342902,0.029739382,No
0.05383118,0.108475968,0.051174674,0.040782161,No
0.05399784,0.108102664,0.038693741,0.051616926,No
0.0541645,0.107235208,0.026047688,0.062192094,No
0.05433116,0.105882809,0.013298985,0.072458871,No
0.05449782,0.104058616,0.00051,0.082371905,No
0.05466448,0.101780616,0.012254972,0.091890134,No
0.05483114,0.099069439,0.024935478,0.100976162,No
0.0549978,0.095947392,0.037471477,0.109596074,No
0.05516446,0.092439853,0.049805306,0.117720716,No
0.05533112,0.088573597,0.061882082,0.125324786,No
0.05549778,0.084377281,0.073649801,0.132387415,No
0.05566444,0.079880275,0.085060023,0.138891667,No
0.0558311,0.075111769,0.096068047,0.144823894,No
0.05599776,0.070100933,0.106633075,0.150173932,No
0.05616442,0.06487608,0.116718233,0.154934242,No
0.05633108,0.059463948,0.126290768,0.159099534,No
0.05649774,0.053889595,0.135321885,0.162666321,No
0.0566644,0.048176315,0.143786401,0.16563265,No
0.05683106,0.042345297,0.151662588,0.167997375,Yes
0.05699772,0.036415447,0.158931866,0.169759855,Yes
0.05716438,0.030403776,0.165578321,0.170919836,Yes
0.05733104,0.024325309,0.171588302,0.171476752,Yes
0.0574977,0.018194007,0.176950947,0.171431407,Yes
0.05766436,0.01202163,0.181655809,0.170782387,Yes
0.05783102,0.005818921,0.185693383,0.169527784,Yes
0.05799768,0.000404,0.189055458,0.167666286,Yes
0.05816434,0.00663539,0.191734359,0.165196672,Yes
0.058331,0.012865658,0.193722755,0.162118092,Yes
0.05849766,0.019082317,0.195013925,0.158431172,Yes
0.05866432,0.025272131,0.195601791,0.154137969,Yes
0.05883098,0.031420141,0.195480421,0.149242014,Yes
0.05899764,0.037509441,0.194644466,0.143749192,Yes
0.0591643,0.043521278,0.193089783,0.137668148,Yes
0.05933096,0.049434692,0.190813005,0.131010309,Yes
0.05949762,0.055226423,0.18781215,0.123790525,Yes
0.05966428,0.060871154,0.184087187,0.116027683,Yes
0.05983094,0.066341646,0.179640293,0.107744537,Yes
0.0599976,0.071608789,0.174476147,0.098968171,Yes
0.06016426,0.076642238,0.168602601,0.089730076,Yes
0.06033092,0.081411771,0.162032858,0.080066904,Yes
0.06049758,0.085885331,0.154781103,0.070018247,Yes
0.06066424,0.090031177,0.146865845,0.059627712,No
0.0608309,0.093819067,0.138311163,0.048943043,No
0.06099756,0.097220123,0.129145324,0.038014933,No
0.06116422,0.100207277,0.119401172,0.02689695,No
0.06133088,0.102756761,0.109116942,0.015644984,No
0.06149754,0.104848109,0.098335505,0.00431635,No
0.0616642,0.106463954,0.087103747,0.007030545,No
0.06183086,0.107591331,0.075472638,0.018337421,No
0.06199752,0.108221792,0.063496798,0.029546589,No
0.06216418,0.10835097,0.051233605,0.040601511,No
0.06233084,0.107979193,0.038742762,0.051447798,No
0.0624975,0.107111499,0.026085895,0.062033635,No
0.06266416,0.105757058,0.013325657,0.072310001,No
0.06283082,0.103929132,0.000525,0.08223141,No
0.06299748,0.101645768,0.012252936,0.091756806,No
0.06316414,0.098927639,0.024946149,0.100848518,No
0.0633308,0.095797285,0.03749482,0.109472707,No
0.06349746,0.092280306,0.049841072,0.117600247,No
0.06366412,0.088403657,0.061929807,0.125205725,No
0.06383078,0.084196188,0.07370881,0.132268295,No
0.06399744,0.079687446,0.085129507,0.138771117,No
0.0641641,0.074906826,0.096147023,0.144700542,No
0.06433076,0.06988363,0.106720462,0.150046349,No
0.06449742,0.064646393,0.116812833,0.15480122,No
0.06466408,0.059222024,0.126391292,0.158959821,No
0.06483074,0.053635772,0.135426849,0.162518814,No
0.0649974,0.047911081,0.143894315,0.165476307,No
0.06516406,0.042069249,0.151771933,0.167831287,Yes
0.06533072,0.036129385,0.159041017,0.169583157,Yes
0.06549738,0.030108573,0.165685684,0.170731738,Yes
0.06566404,0.024022002,0.171692386,0.171276867,Yes
0.0658307,0.017883761,0.177050129,0.171219245,Yes
0.06599736,0.011705779,0.181748644,0.170557812,Yes
0.06616402,0.005498975,0.185778722,0.169291139,Yes
0.06633068,0.000726,0.189132273,0.167418242,Yes
0.06649734,0.006958613,0.191801846,0.164938137,Yes
0.066664,0.013187923,0.193780303,0.161850199,Yes
0.06683066,0.019402036,0.195061237,0.158155233,Yes
0.06699732,0.025587648,0.195638552,0.153855339,Yes
0.06716398,0.031729952,0.195506543,0.148954153,Yes
0.06733064,0.037812229,0.194660127,0.143457636,Yes
0.0674973,0.043815751,0.193095163,0.137374386,Yes
0.06766396,0.049719661,0.190808475,0.130715922,Yes
0.06783062,0.055500992,0.187798247,0.123497099,Yes
0.06799728,0.061134487,0.184064552,0.115736693,Yes
0.06816394,0.066592962,0.179609731,0.107457541,Yes
0.0683306,0.071847662,0.174438581,0.098686613,Yes
0.06849726,0.076868378,0.168559089,0.089455299,Yes
0.06866392,0.081625059,0.161984444,0.079800211,Yes
0.06883058,0.086085953,0.154729128,0.069760792,Yes
0.06899724,0.090219535,0.146811724,0.059380505,No
0.0691639,0.093995787,0.138256341,0.048706938,No
0.06933056,0.097386099,0.129091337,0.03779069,No
0.06949722,0.100363515,0.119349577,0.026685152,No
0.06966388,0.102904417,0.109069213,0.015445939,No
0.06983054,0.104988433,0.098293103,0.004130239,No
0.0699972,0.106598333,0.087067999,0.007203741,No
0.07016386,0.107721277,0.075444758,0.018497929,No
0.07033052,0.108348861,0.063477859,0.029694913,No
0.07049718,0.108476833,0.051224567,0.040738381,No
0.07066384,0.108105503,0.038744438,0.051574085,No
0.0708305,0.107240021,0.026098896,0.062150389,No
0.07099716,0.105889507,0.013350463,0.072418518,No
0.07116382,0.104067132,0.000562,0.082333028,No
0.07133048,0.10179092,0.012203657,0.091852948,No
0.07149714,0.099081419,0.024884617,0.100940749,No
0.0716638,0.095960967,0.03742129,0.109562554,No
0.07183046,0.092454918,0.04975602,0.117689222,No
0.07199712,0.088589996,0.061833899,0.125295401,No
0.07216378,0.084394909,0.073602945,0.13236022,No
0.07233044,0.07989902,0.085014716,0.138866723,No
0.0724971,0.075131506,0.096024498,0.144801289,No
0.07266376,0.070121534,0.106591381,0.150153652,No
0.07283042,0.06489744,0.116678543,0.154916346,No
0.07299708,0.059485972,0.126253218,0.159083977,No
0.07316374,0.053912204,0.13528654,0.162653118,No
0.0733304,0.048199423,0.14375338,0.165621847,No
0.07349706,0.04236877,0.151631966,0.167988971,Yes
0.07366372,0.036439262,0.158903644,0.169753805,Yes
0.07383038,0.03042783,0.165552646,0.170916095,Yes
0.07399704,0.024349526,0.171565265,0.171475425,Yes
0.0741637,0.018218372,0.176930517,0.171432465,Yes
0.07433036,0.012046095,0.181638032,0.170785859,Yes
0.07449702,0.005843462,0.185678378,0.169533685,Yes
0.07466368,0.000379,0.189043194,0.167674586,Yes
0.07483034,0.006610817,0.191724837,0.165207341,Yes
0.074997,0.012841149,0.193716005,0.16213119,Yes
0.07516366,0.019057918,0.195009947,0.158446655,Yes
0.07533032,0.02524787,0.195600644,0.154155791,Yes
0.07549698,0.031396139,0.195482135,0.149262175,Yes
0.07566364,0.037485745,0.194649085,0.143771753,Yes
0.0758303,0.04349795,0.193097279,0.137693033,Yes
0.07599696,0.049411815,0.190823436,0.131037489,Yes
0.07616362,0.055204079,0.187825456,0.123819947,Yes
0.07633028,0.060849465,0.184103414,0.116059236,Yes
0.07649694,0.066320702,0.179659426,0.107778132,Yes
0.0766636,0.071588717,0.174498126,0.099003673,Yes
0.07683026,0.076623149,0.168627352,0.089767285,Yes
0.07699692,0.081393823,0.16206038,0.080105752,Yes
0.07716358,0.085868657,0.154811353,0.070058577,Yes
0.07733024,0.090015844,0.146898717,0.059669331,No
0.0774969,0.093805231,0.138346553,0.048985738,No
0.07766356,0.097207896,0.129183158,0.038058538,No
0.07783022,0.100196734,0.119441278,0.026941279,No
0.07799688,0.102748007,0.109159105,0.015689731,No
0.07816354,0.104841203,0.098379612,0.004361315,No
0.0783302,0.106458962,0.087149568,0.006985642,No
0.07849686,0.107588284,0.075519934,0.018292777,No
